Origin_Port,Destination_Port,Transport_Mode,Product_Category,Distance_km,Weight_MT,Fuel_Price_Index,Geopolitical_Risk_Score,Weather_Condition,Carrier_Reliability_Score,Lead_Time_Days,Disruption_Occurred,Year,Month,Day,DayOfWeek,Cost_Per_KM,Risk_LeadTime,Weight_Per_KM,Risk_Reliability,High_Risk
7,4,1,4,5930.83,197.42,2.43,5.0,2,0.865,41.39,1,2025,10,16,4,0.0004097234282554044,206.95,0.03328707786262631,0.675,0
7,7,1,0,14285.36,237.24,2.3,7.5,4,0.592,40.92,1,2024,4,24,6,0.00016100399289902388,306.90000000000003,0.0166072118588541,3.06,1
5,4,1,2,11113.91,427.42,1.78,5.6,3,0.673,11.54,0,2024,1,26,0,0.00016015965578270835,64.624,0.03845811240148607,1.8311999999999997,0
1,3,1,1,9180.55,170.66,3.2,0.8,2,0.832,53.13,1,2024,10,8,5,0.0003485629945918273,42.504000000000005,0.01858930020532539,0.13440000000000005,0
1,8,0,2,2762.27,434.96,2.77,1.9,1,0.741,0.5,1,2024,9,7,2,0.0010027984230361262,0.95,0.1574646938930662,0.4921,0
5,5,1,0,2761.92,44.98,4.06,2.2,3,0.869,2.16,1,2024,8,16,0,0.0014699918896999187,4.752000000000001,0.01628577221642915,0.2882,0
6,0,1,3,1342.21,388.62,1.31,2.6,4,0.981,2.99,0,2024,5,22,6,0.0009760022649212865,7.774000000000001,0.2895374047280232,0.04940000000000005,0
1,0,0,4,13059.55,423.93,3.32,5.7,1,0.558,1.25,1,2024,4,14,3,0.00025422009181020786,7.125,0.032461302265392,2.5193999999999996,0
2,5,0,4,9216.17,91.73,3.72,5.0,0,0.855,0.62,1,2025,11,23,3,0.0004036383877467538,3.1,0.009953158416131647,0.7250000000000001,0
4,8,1,1,10767.05,215.74,3.71,2.0,4,0.615,25.17,1,2025,7,12,2,0.00034456977537951437,50.34,0.02003705750414459,0.77,0
2,6,1,2,798.48,83.58,4.12,0.7,3,0.707,0.5,0,2024,3,30,2,0.005159803626891093,0.35,0.10467388037270814,0.2051,0
3,4,0,0,14563.69,353.6,3.61,1.7,1,0.516,1.33,1,2025,8,27,6,0.00024787674002948426,2.261,0.024279561017846438,0.8228,0
7,1,1,2,12570.42,268.14,4.26,9.8,1,0.568,19.6,1,2025,3,8,2,0.0003388908246502503,192.08000000000004,0.021331029512140404,4.233600000000001,1
4,3,2,3,3578.92,318.03,2.3,4.7,4,0.66,7.58,1,2024,2,2,0,0.0006426519732209716,35.626000000000005,0.08886200306237635,1.5979999999999999,0
0,7,1,4,3136.46,99.05,2.86,8.7,4,0.671,9.4,1,2024,1,31,6,0.0009118560415245212,81.78,0.03158018913042092,2.8622999999999994,1
0,5,1,2,3159.37,106.66,1.25,8.5,2,0.95,25.5,1,2024,4,5,0,0.00039564849954263037,216.75,0.03375989516897356,0.4250000000000004,1
4,1,2,2,4911.51,21.71,1.22,5.1,0,0.871,3.76,0,2024,8,11,3,0.0002483961144332395,19.176,0.004420229216676745,0.6578999999999999,0
6,1,0,4,8108.97,161.71,1.99,7.1,4,0.986,1.83,1,2024,8,26,1,0.0002454072465430258,12.993,0.019942113486669702,0.09940000000000009,1
1,6,0,0,6763.2,280.31,1.53,1.9,1,0.8,0.5,0,2025,6,1,3,0.00022622427253371187,0.95,0.0414463567541992,0.3799999999999999,0
1,2,1,1,4722.82,429.11,2.06,6.9,1,0.621,7.6,0,2025,9,8,1,0.0004361800788511949,52.44,0.09085885127953215,2.6151,0
1,0,0,2,9371.87,333.8,1.78,2.7,3,0.664,0.5,0,2024,1,28,3,0.0001899300779887045,1.35,0.03561722473743233,0.9072,0
6,0,1,4,2522.66,218.26,1.29,8.3,4,0.66,6.61,1,2025,7,28,1,0.0005113649877510248,54.86300000000001,0.08651978467173539,2.822,1
1,6,1,4,4736.1,476.61,4.2,0.8,3,0.663,4.54,1,2024,7,22,1,0.0008868055995439286,3.632,0.1006334325711028,0.2696,0
1,7,0,2,5812.25,359.9,1.23,7.7,2,0.836,3.3,1,2025,10,27,1,0.00021162200524753753,25.41,0.06192094283625102,1.2628000000000004,1
2,7,2,2,7113.01,465.15,3.63,1.0,0,0.765,4.29,0,2025,12,19,0,0.0005103324752812101,4.29,0.06539425643996001,0.235,0
6,8,0,1,11885.05,264.27,1.7,8.8,2,0.693,6.86,1,2025,7,12,2,0.00014303684040033488,60.36800000000001,0.02223549753682147,2.7016000000000004,1
1,6,3,4,3395.27,130.19,4.21,3.0,1,0.575,9.09,0,2025,3,5,6,0.0012399602977082823,27.27,0.03834452046523546,1.2750000000000001,0
7,6,1,1,7956.4,27.36,4.15,6.5,1,0.511,11.18,0,2024,8,13,5,0.000521592680106581,72.67,0.0034387411392086875,3.1785,0
