Origin_Port,Destination_Port,Transport_Mode,Product_Category,Distance_km,Weight_MT,Fuel_Price_Index,Geopolitical_Risk_Score,Weather_Condition,Carrier_Reliability_Score,Lead_Time_Days,Disruption_Occurred,Year,Month,Day,DayOfWeek
7,4,1,4,5930.83,197.42,2.43,5.0,2,0.865,41.39,1,2025,10,16,4
7,7,1,0,14285.36,237.24,2.3,7.5,4,0.592,40.92,1,2024,4,24,6
5,4,1,2,11113.91,427.42,1.78,5.6,3,0.673,11.54,0,2024,1,26,0
1,3,1,1,9180.55,170.66,3.2,0.8,2,0.832,53.13,1,2024,10,8,5
1,8,0,2,2762.27,434.96,2.77,1.9,1,0.741,0.5,1,2024,9,7,2
5,5,1,0,2761.92,44.98,4.06,2.2,3,0.869,2.16,1,2024,8,16,0
6,0,1,3,1342.21,388.62,1.31,2.6,4,0.981,2.99,0,2024,5,22,6
1,0,0,4,13059.55,423.93,3.32,5.7,1,0.558,1.25,1,2024,4,14,3
2,5,0,4,9216.17,91.73,3.72,5.0,0,0.855,0.62,1,2025,11,23,3
4,8,1,1,10767.05,215.74,3.71,2.0,4,0.615,25.17,1,2025,7,12,2
2,6,1,2,798.48,83.58,4.12,0.7,3,0.707,0.5,0,2024,3,30,2
3,4,0,0,14563.69,353.6,3.61,1.7,1,0.516,1.33,1,2025,8,27,6
7,1,1,2,12570.42,268.14,4.26,9.8,1,0.568,19.6,1,2025,3,8,2
4,3,2,3,3578.92,318.03,2.3,4.7,4,0.66,7.58,1,2024,2,2,0
0,7,1,4,3136.46,99.05,2.86,8.7,4,0.671,9.4,1,2024,1,31,6
0,5,1,2,3159.37,106.66,1.25,8.5,2,0.95,25.5,1,2024,4,5,0
4,1,2,2,4911.51,21.71,1.22,5.1,0,0.871,3.76,0,2024,8,11,3
6,1,0,4,8108.97,161.71,1.99,7.1,4,0.986,1.83,1,2024,8,26,1
1,6,0,0,6763.2,280.31,1.53,1.9,1,0.8,0.5,0,2025,6,1,3
1,2,1,1,4722.82,429.11,2.06,6.9,1,0.621,7.6,0,2025,9,8,1
1,0,0,2,9371.87,333.8,1.78,2.7,3,0.664,0.5,0,2024,1,28,3
6,0,1,4,2522.66,218.26,1.29,8.3,4,0.66,6.61,1,2025,7,28,1
1,6,1,4,4736.1,476.61,4.2,0.8,3,0.663,4.54,1,2024,7,22,1
1,7,0,2,5812.25,359.9,1.23,7.7,2,0.836,3.3,1,2025,10,27,1
2,7,2,2,7113.01,465.15,3.63,1.0,0,0.765,4.29,0,2025,12,19,0
6,8,0,1,11885.05,264.27,1.7,8.8,2,0.693,6.86,1,2025,7,12,2
1,6,3,4,3395.27,130.19,4.21,3.0,1,0.575,9.09,0,2025,3,5,6
7,6,1,1,7956.4,27.36,4.15,6.5,1,0.511,11.18,0,2024,8,13,5
6,2,0,4,9090.01,363.32,3.36,4.9,4,0.609,2.04,1,2025,4,4,0
0,8,0,4,1173.53,61.53,3.42,3.7,0,0.554,0.5,0,2025,8,26,5
0,4,1,2,9309.4,152.08,1.22,6.5,4,0.893,25.79,0,2024,10,11,0
7,5,0,0,2972.6,266.7,4.45,9.5,1,0.556,1.04,1,2024,1,7,3
7,2,2,2,1443.25,282.64,4.1,0.4,4,0.862,2.5,1,2024,6,12,6
6,0,1,0,14258.84,300.69,4.15,9.2,3,0.693,16.61,1,2025,12,15,1
3,8,0,4,14501.66,83.96,3.38,6.1,3,0.537,1.62,0,2025,3,8,2
4,0,2,0,12221.76,190.49,2.34,8.1,1,0.906,15.57,0,2024,12,14,2
1,5,2,4,4916.9,308.98,4.15,3.8,2,0.79,27.96,1,2024,10,11,0
2,3,1,4,1916.25,484.94,2.16,4.7,4,0.618,5.17,1,2024,6,8,2
2,3,2,0,10421.38,364.09,3.06,8.7,3,0.947,10.49,1,2024,8,8,4
7,1,1,2,6882.21,461.38,1.53,4.1,4,0.523,17.32,1,2024,12,10,5
4,7,0,0,2269.55,381.34,4.24,5.3,1,0.601,0.5,1,2024,4,14,3
1,0,1,1,7680.07,296.27,1.66,0.2,4,0.876,15.87,1,2024,4,4,4
2,4,3,4,998.63,96.82,1.94,1.6,1,0.855,2.84,0,2025,1,24,0
1,6,1,3,13685.15,333.68,3.04,6.4,1,0.645,18.12,0,2024,4,9,5
2,6,3,4,4252.31,312.07,3.72,7.2,4,0.531,25.25,1,2025,1,2,4
1,4,2,4,10106.57,301.63,3.24,5.8,3,0.929,9.76,1,2024,12,18,6
6,3,2,0,5019.81,245.4,1.97,1.4,4,0.657,8.72,1,2025,9,10,6
