Origin_Port,Destination_Port,Transport_Mode,Product_Category,Distance_km,Weight_MT,Fuel_Price_Index,Geopolitical_Risk_Score,Weather_Condition,Carrier_Reliability_Score,Lead_Time_Days,Disruption_Occurred,Year,Month,Day,DayOfWeek,Cost_Per_KM,Risk_LeadTime,Weight_Per_KM,Risk_Reliability,High_Risk,Prediction,Probability,Recommended_Action
7,4,1,4,5930.83,197.42,2.43,5.0,2,0.865,41.39,1,2025,10,16,4,0.0004097234282554,206.95,0.0332870778626263,0.675,0,1,0.963058,Prioritize Shipment
7,7,1,0,14285.36,237.24,2.3,7.5,4,0.592,40.92,1,2024,4,24,6,0.000161003992899,306.90000000000003,0.0166072118588541,3.06,1,1,0.90539044,Prioritize Shipment
1,3,1,1,9180.55,170.66,3.2,0.8,2,0.832,53.13,1,2024,10,8,5,0.0003485629945918,42.504000000000005,0.0185893002053253,0.1344,0,1,0.9458379,Prioritize Shipment
0,7,1,4,3136.46,99.05,2.86,8.7,4,0.671,9.4,1,2024,1,31,6,0.0009118560415245,81.78,0.0315801891304209,2.8622999999999994,1,1,0.86630094,Prioritize Shipment
0,5,1,2,3159.37,106.66,1.25,8.5,2,0.95,25.5,1,2024,4,5,0,0.0003956484995426,216.75,0.0337598951689735,0.4250000000000004,1,1,0.9355003,Prioritize Shipment
6,0,1,4,2522.66,218.26,1.29,8.3,4,0.66,6.61,1,2025,7,28,1,0.000511364987751,54.86300000000001,0.0865197846717353,2.822,1,1,0.8677056,Prioritize Shipment
1,7,0,2,5812.25,359.9,1.23,7.7,2,0.836,3.3,1,2025,10,27,1,0.0002116220052475,25.41,0.061920942836251,1.2628000000000004,1,1,0.9176385,Prioritize Shipment
6,8,0,1,11885.05,264.27,1.7,8.8,2,0.693,6.86,1,2025,7,12,2,0.0001430368404003,60.36800000000001,0.0222354975368214,2.7016000000000004,1,1,0.9314838,Prioritize Shipment
6,2,0,4,9090.01,363.32,3.36,4.9,4,0.609,2.04,1,2025,4,4,0,0.0003696365570554,9.996,0.0399691529492266,1.9159,0,1,0.8158039,Prioritize Shipment
1,5,2,4,4916.9,308.98,4.15,3.8,2,0.79,27.96,1,2024,10,11,0,0.0008440277410563,106.248,0.0628404075738778,0.7979999999999998,0,1,0.9121067,Prioritize Shipment
2,6,3,4,4252.31,312.07,3.72,7.2,4,0.531,25.25,1,2025,1,2,4,0.0008748186279927,181.8,0.0733883465692764,3.3768,1,1,0.8483246,Prioritize Shipment
4,3,3,2,8427.3,167.89,3.7,3.6,2,0.758,110.18,1,2024,2,14,6,0.0004390492803151,396.648,0.0199221577492197,0.8712,0,1,0.96886975,Prioritize Shipment
7,4,0,2,3180.39,260.14,4.45,5.0,2,0.955,1.85,1,2025,4,15,5,0.0013991994692474,9.25,0.0817949999842786,0.2250000000000002,0,1,0.88948447,Prioritize Shipment
3,1,2,2,14122.73,93.7,4.18,0.8,2,0.786,70.01,1,2025,1,22,6,0.0002959767693639,56.00800000000001,0.0066346945668436,0.1712,0,1,0.9469097,Prioritize Shipment
2,7,1,4,13475.0,43.4,2.55,8.9,2,0.713,107.82,1,2024,3,21,4,0.0001892393320964,959.598,0.0032207792207792,2.5543000000000005,1,1,0.96684766,Prioritize Shipment
1,4,3,4,3341.75,139.1,3.76,6.7,4,0.572,18.83,0,2025,9,25,4,0.0011251589735916,126.161,0.0416248971347347,2.8676000000000004,0,1,0.8356264,Prioritize Shipment
3,8,2,2,4434.56,461.4,1.32,1.5,2,0.787,23.3,1,2025,12,22,1,0.0002976620002886,34.95,0.1040463991918025,0.3194999999999999,0,1,0.8650933,Prioritize Shipment
0,5,3,1,8369.09,19.32,3.36,6.9,4,0.713,47.52,1,2024,8,21,6,0.0004014773410251,327.88800000000003,0.0023084947108944,1.9803000000000004,0,1,0.89590895,Prioritize Shipment
7,3,3,4,580.07,243.02,3.3,6.1,2,0.735,8.4,1,2025,4,9,6,0.0056889685727584,51.24,0.4189494371368972,1.6165,0,1,0.90864974,Prioritize Shipment
1,4,3,1,10749.43,486.26,4.44,9.3,4,0.9,66.01,1,2025,1,8,6,0.0004130451568129,613.8930000000001,0.0452358869260974,0.9299999999999998,1,1,0.87885845,Prioritize Shipment
7,0,0,3,2180.1,215.15,4.43,3.9,2,0.706,0.8,1,2025,11,17,1,0.0020320168799596,3.12,0.0986881335718545,1.1466,0,1,0.88779527,Prioritize Shipment
0,8,3,2,13015.0,38.37,3.14,6.7,4,0.848,71.68,1,2024,9,30,1,0.0002412600845178,480.2560000000001,0.0029481367652708,1.0184000000000002,0,1,0.8763393,Prioritize Shipment
1,3,3,3,9537.82,53.97,3.04,4.7,2,0.754,130.77,1,2025,12,19,0,0.0003187311146572,614.619,0.0056585257427797,1.1562,0,1,0.9688338,Prioritize Shipment
5,2,1,2,5009.24,98.28,1.31,2.4,2,0.542,31.75,1,2024,3,14,4,0.0002615167171067,76.2,0.0196197427154618,1.0992,0,1,0.9021911,Prioritize Shipment
0,2,0,1,7347.12,60.49,1.95,3.4,2,0.75,3.66,1,2024,9,7,2,0.0002654101198837,12.444,0.0082331580265464,0.85,0,1,0.8825137,Prioritize Shipment
0,8,1,3,11531.38,417.25,2.43,4.6,2,0.864,78.49,1,2025,1,23,4,0.0002107293316151,361.054,0.0361838739162181,0.6256,0,1,0.9681681,Prioritize Shipment
3,8,0,4,11679.02,23.53,3.93,5.9,2,0.816,6.92,1,2025,10,17,0,0.0003365008365427,40.828,0.0020147238381302,1.0856000000000003,0,1,0.9008622,Prioritize Shipment
5,4,1,0,8079.63,422.15,3.14,3.0,2,0.711,50.51,1,2025,7,24,4,0.0003886316576377,151.53,0.0522486797043924,0.8670000000000001,0,1,0.9552605,Prioritize Shipment
5,3,0,4,6699.34,131.94,3.58,5.6,2,0.799,3.61,1,2024,8,12,1,0.0005343809987252,20.216,0.0196944773664271,1.1255999999999995,0,1,0.9050798,Prioritize Shipment
0,1,0,1,868.58,211.43,2.0,6.7,2,0.974,0.93,1,2025,12,2,5,0.0023026088558336,6.231000000000001,0.2434202951944553,0.1742000000000001,0,1,0.90018857,Prioritize Shipment
3,1,1,4,13659.71,158.45,3.52,8.7,2,0.813,108.49,1,2025,2,14,0,0.0002576921471978,943.8629999999998,0.0115998070237215,1.6269000000000005,1,1,0.9666068,Prioritize Shipment
2,7,0,2,3817.57,383.53,2.25,5.8,2,0.826,3.01,1,2025,8,3,3,0.0005893801554391,17.458,0.100464431562486,1.0092000000000003,0,1,0.9042737,Prioritize Shipment
3,4,3,1,12361.21,273.66,2.83,6.4,2,0.848,182.19,1,2025,2,12,6,0.0002289419886888,1166.016,0.0221386094079786,0.9728000000000002,0,1,0.9678587,Prioritize Shipment
5,1,3,1,12980.59,125.62,3.99,4.7,2,0.535,177.59,1,2025,1,5,3,0.0003073820219265,834.673,0.0096775262141397,2.1855,0,1,0.96644795,Prioritize Shipment
4,2,2,1,6552.46,280.05,4.48,2.7,2,0.655,35.77,1,2025,6,5,4,0.0006837126819545,96.579,0.042739673344057,0.9315,0,1,0.9308647,Prioritize Shipment
2,1,2,2,2238.05,50.69,3.26,9.1,2,0.916,15.06,1,2024,4,3,6,0.0014566251871048,137.046,0.0226491812068541,0.7643999999999996,1,1,0.92193496,Prioritize Shipment
0,6,0,4,8022.46,302.0,1.59,0.3,2,0.626,3.33,1,2025,10,4,2,0.0001981935715478,0.999,0.0376443135895972,0.1122,0,1,0.8211443,Prioritize Shipment
0,2,3,2,4150.84,63.93,2.75,9.8,4,0.587,25.66,1,2024,3,6,6,0.0006625165026837,251.468,0.015401701824209,4.0474000000000006,1,1,0.8953063,Prioritize Shipment
7,0,2,4,4630.19,203.8,3.26,7.0,2,0.826,29.71,1,2025,9,2,5,0.0007040747787887,207.97,0.0440154723672246,1.2180000000000004,1,1,0.9389098,Prioritize Shipment
7,7,0,0,1034.86,440.04,3.77,10.0,4,0.801,0.99,1,2025,4,24,4,0.0036430048508977,9.9,0.425216937556771,1.9899999999999995,1,1,0.87253106,Prioritize Shipment
2,3,0,0,13669.86,155.54,4.13,7.0,4,0.539,3.36,0,2025,11,27,4,0.0003021245279761,23.52,0.0113783169688643,3.227,1,1,0.84190017,Prioritize Shipment
4,3,0,2,2600.98,454.5,2.12,9.5,2,0.617,1.27,1,2025,11,29,2,0.0008150773939053,12.065,0.1747418280801851,3.6385,1,1,0.9334259,Prioritize Shipment
5,4,1,4,4009.8,151.18,2.58,6.8,4,0.595,12.07,1,2025,10,18,2,0.0006434236121502,82.076,0.0377026285600279,2.754,0,1,0.84229857,Prioritize Shipment
0,1,0,2,5832.86,308.69,3.03,4.4,2,0.807,1.3,1,2024,6,10,1,0.0005194707227672,5.720000000000001,0.0529225800036345,0.8491999999999998,0,1,0.8992635,Prioritize Shipment
3,5,0,1,1809.2,74.83,4.22,3.0,2,0.683,0.72,1,2025,5,27,5,0.00233252266195,2.16,0.041360822462967,0.9509999999999998,0,1,0.8813709,Prioritize Shipment
5,4,3,1,12611.89,492.34,1.61,1.6,2,0.636,151.28,1,2024,7,1,1,0.0001276573138522,242.048,0.0390377651565308,0.5824,0,1,0.95513666,Prioritize Shipment
1,8,1,1,10324.68,213.33,2.91,1.7,2,0.994,62.57,1,2025,10,16,4,0.000281848928974,106.369,0.0206621415869547,0.0102,0,1,0.9441981,Prioritize Shipment
7,3,3,0,7925.35,11.48,2.89,7.5,2,0.523,121.68,1,2025,9,15,1,0.0003646526651819,912.6,0.0014485164693041,3.5775,1,1,0.9677557,Prioritize Shipment
6,4,1,1,2494.05,456.7,3.6,0.8,2,0.592,14.44,1,2024,1,1,1,0.0014434353761953,11.552,0.1831158156412261,0.3264,0,1,0.8632815,Prioritize Shipment
5,3,1,0,13908.06,67.71,2.48,7.7,2,0.956,107.19,1,2025,5,15,4,0.0001783138697992,825.363,0.0048684000500429,0.3388000000000003,1,1,0.96533793,Prioritize Shipment
6,3,0,0,8550.41,182.34,4.09,5.1,2,0.611,3.97,1,2024,9,2,1,0.0004783396351753,20.247,0.0213252931730759,1.9839,0,1,0.913907,Prioritize Shipment
4,5,3,1,1849.99,166.75,3.28,9.8,4,0.526,12.16,1,2025,8,3,3,0.0017729825566624,119.168,0.0901356223547154,4.6452,1,1,0.8749637,Prioritize Shipment
2,8,1,3,13556.06,382.89,1.26,2.8,2,0.821,85.86,1,2024,3,28,4,9.29473608113272e-05,240.408,0.0282449325246421,0.5012000000000001,0,1,0.95769584,Prioritize Shipment
1,3,3,2,9809.46,152.94,2.92,6.4,2,0.53,143.34,1,2025,7,16,6,0.0002976718392245,917.376,0.0155910722914411,3.008,0,1,0.9707346,Prioritize Shipment
0,4,0,3,633.36,189.22,1.88,4.0,2,0.642,0.5,1,2025,3,9,3,0.0029682960717443,2.0,0.2987558418592901,1.432,0,1,0.8883144,Prioritize Shipment
6,3,2,3,1971.34,401.12,3.8,8.0,2,0.892,13.64,1,2024,8,4,3,0.0019276228352288,109.12,0.2034758083334178,0.8639999999999999,1,1,0.9218984,Prioritize Shipment
0,6,1,1,10120.78,217.83,1.75,7.6,4,0.835,29.43,1,2025,7,6,3,0.0001729115740091,223.668,0.0215230446665177,1.2540000000000002,1,1,0.84472036,Prioritize Shipment
3,5,0,4,573.39,434.9,1.29,1.3,2,0.799,0.5,1,2025,12,7,3,0.0022497776382566,0.65,0.7584715464169239,0.2613,0,1,0.8459681,Prioritize Shipment
7,1,0,0,8740.47,237.68,3.59,9.4,4,0.931,1.36,1,2024,8,18,3,0.0004107330612655,12.784,0.027193045682898,0.6485999999999995,1,1,0.8164963,Prioritize Shipment
6,4,0,4,1858.28,84.84,4.38,9.9,2,0.811,1.43,1,2024,3,6,6,0.0023570183180145,14.157,0.0456551219407193,1.8710999999999995,1,1,0.93516296,Prioritize Shipment
6,1,3,4,14608.65,292.07,3.53,1.5,2,0.614,174.33,1,2025,7,21,1,0.0002416376598795,261.495,0.0199929493827287,0.579,0,1,0.9599853,Prioritize Shipment
4,7,3,3,6199.92,442.29,3.81,3.5,2,0.535,80.05,1,2024,8,23,0,0.0006145240583749,280.175,0.0713380172647389,1.6275,0,1,0.96756494,Prioritize Shipment
0,1,1,4,13434.68,76.72,1.84,8.3,4,0.768,38.63,1,2025,8,25,1,0.0001369589748322,320.6290000000001,0.0057105937767032,1.9256,1,1,0.89234704,Prioritize Shipment
7,1,0,4,3331.02,252.81,3.84,1.0,2,0.641,1.13,1,2024,3,1,0,0.00115280004323,1.13,0.0758956715960876,0.359,0,1,0.8603369,Prioritize Shipment
3,6,0,1,3068.1,184.76,2.11,0.2,2,0.648,0.89,1,2024,3,13,6,0.0006877220429581,0.178,0.0602196799322055,0.0704,0,1,0.8242906,Prioritize Shipment
1,7,0,1,13960.62,291.45,4.39,1.9,2,0.621,7.54,1,2024,8,7,6,0.0003144559482315,14.326,0.0208765799799722,0.7201,0,1,0.88102394,Prioritize Shipment
0,5,3,3,6708.67,399.1,1.73,8.1,2,0.763,104.57,1,2025,7,6,3,0.0002578752569436,847.0169999999999,0.0594901821076308,1.9197,1,1,0.9687918,Prioritize Shipment
7,0,0,1,2957.64,431.62,4.29,6.4,2,0.72,1.5,1,2024,7,13,2,0.0014504807887369,9.6,0.145933920287797,1.7920000000000005,0,1,0.9130867,Prioritize Shipment
6,0,2,1,8573.62,240.8,1.24,9.2,2,0.808,59.8,1,2024,4,6,2,0.000144629689676,550.16,0.0280861526403082,1.7663999999999993,1,1,0.9675386,Prioritize Shipment
6,6,3,2,9417.6,102.79,3.45,6.7,2,0.92,139.45,1,2025,3,9,3,0.0003663353720693,934.315,0.0109146704043493,0.5359999999999997,0,1,0.9694499,Prioritize Shipment
0,3,0,0,8015.78,28.25,4.31,4.7,2,0.964,3.64,1,2024,2,25,3,0.0005376894076434,17.108,0.0035242983215607,0.1692000000000001,0,1,0.8851514,Prioritize Shipment
0,6,3,4,13221.91,485.95,3.92,6.4,2,0.532,193.11,1,2025,11,20,4,0.0002964775890926,1235.9040000000002,0.0367533888825442,2.9952,0,1,0.9653404,Prioritize Shipment
